Title,Trim,Location,Distance,MSRP,Price,Monthly Payment,VIN,Stock Number,Dealer,Dealer Phone,Dealer Address,Dealer Website,Listing URL
2025 Nissan Kicks,SR AWD,"Fairless Hills, PA",66 mi away,"$34,455","$29,287",$549/mo est.,3N8AP6DD4SL373195,253259,,,,,https://www.cargurus.com/details/411060000?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=5&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4GNgAbM4uKADmcADstRwArp0V6PYARgAcYMz9OBAAtMwYgxgT+DitE2B4AJxgE6urWAz2pPUY-RBMJM1g6AyqAFLmABpXCKQAYgBCABYAWswAqkgA8gArfQAdwAMrIrsCPPFSKVlEh9LUALIAq6rfJ5IA
2025 Toyota Corolla,FX FWD,"Mount Kisco, NY",30 mi away,"$29,288","$29,288",$549/mo est.,5YFB4MCE5SP250516,2516272,Rivera Toyota of Mt. Kisco,(914) 454-2284,"325 N Bedford Rd, Mount Kisco, NY 10549",https://www.riveratoyota.com/?utm_medium=referral&utm_source=CarGurus,https://www.cargurus.com/details/431762064?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=6&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA49hgA7ABsrPU4JCgA5nANHACu3RXo9gBGABxgzIM4EAC0zBjDGFP4OLVTYHgAnGBT6+tYDPak9VgYgxBMrW1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfT1ACywNu63yeSAA
2025 Mazda CX-5,2.5 S Preferred AWD,"Laurel, MD",194 mi away,"$34,890","$29,288",$549/mo est.,JM3KFBCM1S0809339,MA809339,Ourisman Mazda Mitsubishi,(301) 298-8777,"3516 Fort Meade Rd, Laurel, MD 20724",https://www.ourismanmazda.com,https://www.cargurus.com/details/440698472?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=7&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4OFgAbACcABw4AOzMJCgA5nAttRwArv0V6PYARo1gzKM4EAC0zBiNGLP4rbNgePVgs-X1WAz2pLVYGKMQTB2dYOgMqgBS5gAadwikAGIAQgAWAFrMAKpIADyACt9AB3AAysju4I88VIpWUSH0tQAsiC7vV8nkgA
2025 Nissan Altima,2.5 SR AWD,"Medford, MA",182 mi away,"$36,290","$29,290",$549/mo est.,1N4BL4CW9SN421489,250510,Colonial Nissan of Medford,(781) 350-9673,"104 Mystic Ave, Medford, MA 02155",http://buycolonialnissan.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/427972194?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=8&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zADsAJw1zBh1OCQoAOZwNQBsHACufRXo9gBGABxgzCM4EAC0TWMYs-g4NbNgeHVgs3V1WAz2pN1YGCMQTG3tYOgMqgBS5gAadwikAGIAQgAWAFrMAKpIADyACt9AB3AAysju4I88VIpWUSH03QAsiC7nV8nkgA
2024 Mazda CX-50,2.5 S Select AWD,"Lunenburg, MA",168 mi away,"$32,690","$29,292",$553/mo est.,7MMVABAM6RN221022,M24456,North End Mazda,(409) 345-2615,"747 Chase Road, Lunenburg, MA 01462",https://www.northendmazda.com/new/7MMVABAM6RN221022.htm?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/385015736?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=9&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpA4AHE4YeADs9gBsJCgA5nD1LYoArj0V6PYARlVgzEM4EAC0zBhVGFP4OPVTYHgAnGBT6+tYDPakTVgYQxBMrW1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfRNACywNu63yeSAA
2025 Ford Bronco Sport,Big Bend AWD,"Huntington, NY",26 mi away,"$33,875","$29,298",$549/mo est.,3FMCR9BN5SRF28776,F251560,Empire Ford Lincoln of Huntington,(631) 430-6487,"333 West Jericho Turnpike, Huntington, NY 11743",https://www.empirefordofhuntington.com/new------3FMCR9BN5SRF28776?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/435200608?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=10&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4jqxYAGxYABwkKADmcADsdRwArj0V6PYARo1gzEM4EAC0zBiNGFP4OB1TYHgAnGBT6+tYDPakDRhDEEwtrWDoDKoAUuYAGjcIpABiAEIAFgBazACqSAB5ABW+gA7gAZWQ3UEeeKkUrKJD6OoAWSBN3W+TyQA
2025 Kia Niro EV,Wind FWD,"Putnam, CT",131 mi away,"$42,705","$29,299",$549/mo est.,KNDCR3L18S5144782,144782,,,,,https://www.cargurus.com/details/428521472?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=12&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zAAceMwYOADszCQoAOZwTQBsHACufRXo9gBGNWDMIzgQALQNNRgz+M0zYHgAnGAz6+tYDPak3VgYIxBMbe1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfTdACywNu63yeSAA
2025 Nissan Kicks,SR AWD,"Yonkers, NY",11 mi away,"$30,190","$29,307",$549/mo est.,3N8AP6DB3SL313567,S55,Central Ave Nissan,(914) 315-7468,"1919 Central Park Ave, Yonkers, NY 10710",https://www.centralavenissan.com/VehicleSearchResults?search=new&vin=3N8AP6DB3SL313567&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/410046560?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=13&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA42LgAbHi1LigA5nAA7LUcAK5dFej2AEYAHGDMAzgQALTMGEMYk-g4bZNgeACcYJNra1gM9qSNGAMQTCQtYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfS1ACygOua3yeSAA
2025 Subaru Legacy,Premium AWD,"Stroudsburg, PA",68 mi away,"$31,514","$29,308",$549/mo est.,4S3BWAC63S3030396,SE1542,,,,,https://www.cargurus.com/details/424367282?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=14&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zDj2AGwA7MwAHMwkKADmcA11HACufRXo9gBGzWDMIzgQALTMGM0YM-g4DTNgeACcYDObm1gM9qR1WBgjEEztHWDoDKoAUuYAGvcIpABiAEIAFgBazABVJAAeQAVvoAO4AGVk9whHnipFKyiQ+jqAFlQfdNvk8kA
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,060","$29,310",$549/mo est.,JM3KFBBL4S0790813,YM2488,Tasca Ford Mazda Subaru Yonkers,(914) 758-1569,"900 Central Park Ave, Yonkers, NY 10704",https://www.tascasubaruyonkers.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/436345358?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=15&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA49gBs9viOABwkKADmcADsNRwArj0V6PYARo1gzEM4EAC0zBiNGFP4OB1TYHgAnGBT6+tYDPakNVgYQxBMLa1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfQ1ACywNu63yeSAA
2025 Ford Escape,ST-Line AWD,"Vauxhall, NJ",21 mi away,"$36,310","$29,310",$549/mo est.,1FMCU9MN8SUA03392,25V2,Maplecrest Ford Lincoln of Union,(908) 866-8498,"2800 Springfield Ave, Vauxhall, NJ 07088",https://www.maplecrestfordlincolnunion.com/catcher.esl?vin=1FMCU9MN8SUA03392&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/398741581?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=16&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpA4AnAAcAOw4GHg1GCQoAOZwdQBsHACufRXo9gBGNWDMIzgQALTMGC0z+Dh1M2B4VWAzVVVYDPak3VgYIxBMbe1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfTdACywNuVXyeSAA
2025 Nissan Altima,2.5 SR FWD,"Middletown, CT",84 mi away,"$30,820","$29,320",$550/mo est.,1N4BL4CV5SN410366,SN410366,Middletown Nissan,(339) 333-7743,"1153 Newfield St, Middletown, CT 06457",https://www.middletownnissan.com/vehicles?query=1N4BL4CV5SN410366&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/443933231?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=17&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4OPYAnPb2zPYYJCgA5nAA7ABsHACufRXo9gBGABxgzCM4EAC0zBhjGLP4OJ2zYHi1YLO1tVgM9qTdWBgjEEytbWDoDKoAUuYAGvcIpABiAEIAFgBazABVJAAeQAVvoAO4AGVk9whHnipFKyiQ+m6AFlQfdavk8kA
2025 Nissan Altima,2.5 SR FWD,"Middletown, CT",84 mi away,"$30,820","$29,320",$550/mo est.,1N4BL4CV9SN407258,SN407258,Middletown Nissan,(339) 333-7743,"1153 Newfield St, Middletown, CT 06457",https://www.middletownnissan.com/vehicles?query=1N4BL4CV9SN407258&utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/424749669?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=18&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zDgA7DgAnABsTQ0kKADmcLVNHACufRXo9gBGABxgzCM4EAC0zBhjGLP4dbNgeA1gsw0NWAz2pE1YGCMQTO0dYOgMqgBS5gAadwikAGIAQgAWAFrMAKpIADyACt9AB3AAysju4I88VIpWUSH0TQAsiC7g18nkgA
2025 Mazda CX-5,2.5 S AWD,"New Castle, DE",118 mi away,"$31,205","$29,324",$550/mo est.,JM3KFBAL4S0772149,M260410,Nucar Mazda of New Castle,(470) 828-4806,"172 N Dupont Hwy, New Castle, DE 19720",https://www.nucarmazdanewcastle.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/432890029?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=19&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA49swAHACcbMz1JCgA5nAA7ABsHACufRXo9gBGtWDMIzgQALTMGLUYM-g4nTNgePVgM-WNDPak3VgYIxBMrW1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfTdACywNu9XyeSAA
2025 Kia Seltos,S AWD,"East Meadow, NY",21 mi away,"$29,325","$29,325",$550/mo est.,KNDEUCAA4S7759005,K22688,Autoworld Kia,(516) 990-1984,"2520 Hempstead Turnpike, East Meadow, NY 11554",http://www.autoworldkia.net/?utm_source=CarGurus&utm_medium=referral,https://www.cargurus.com/details/407799333?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=20&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4WADsNQCc9fbNJCgA5nA1AGwcAK69Fej2AEYAHGDMwzgQALTMGKMYM-g4NTNgePVgM41YDPakXVgYwxBMrW1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfRdACywNu9XyeSAA
2025 Volkswagen Taos,SEL 4Motion,"Nanuet, NY",20 mi away,"$38,076","$29,326",$550/mo est.,3VV4C7B26SM033988,NSM033988,VW Nanuet,(845) 289-8595,"6 Hutton Ave, Nanuet, NY 10954",https://www.vwnanuet.com?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/410301353?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=21&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA42PZYGI72JCgA5nAA7ABsHACu3RXo9gBGABxgzIM4EAC0zBjDGFP4OG1TYHgAnGBT6+tYDPakHXWDEExNzWDoDKoAUuYAGjcIpABiAEIAFgBazACqSAB5ABW+gA7gAZWQ3UEeeKkUrKJD6DoAWSBN3W+TyQA
2025 Mazda CX-5,2.5 S Select AWD,"Cranston, RI",143 mi away,"$32,330","$29,330",$550/mo est.,JM3KFBBL3S0761562,MZ5768,Tasca Ford Cranston,(401) 373-3876,"1300 Pontiac Ave, Cranston, RI 02920",http://www.tascaford.net/?utm_campaign=CG%20VDP%20WebClicks&utm_medium=WebClicks&utm_source=CarGurus,https://www.cargurus.com/details/444066607?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=22&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA41VgAbPVYAOwkKADmcI21HACu3RXo9gBGABxgzIM4EAC0zBjDGFP4OI1TYHgAnGBT6+tYDPaktVgYgxBMLa1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfS1ACywNu63yeSAA
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,085","$29,335",$550/mo est.,JM3KFBBL3S0779124,YM2396,Tasca Ford Mazda Subaru Yonkers,(914) 758-1569,"900 Central Park Ave, Yonkers, NY 10704",https://www.tascasubaruyonkers.com/?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/435057512?resultSetId=0706addd-35ca-4284-bcec-9859d0ffdb92&searchUuid=3b8a2b4f-2181-4547-a59a-990e3d601bfe&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=23&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4jlh4AOwEzCQoAOZwdQBsHACu3RXo9gBGABxgzIM4EAC0zBjDGFP4OHVTYHgAnGBT6+tYDPakHVgYgxBMzS1g6AyqAFLmABq3CKQAYgBCABYAWswAqkgAPIAK30AHcADKyW5gjzxUilZRIfQdACywNu63yeSAA
2025 Buick Encore GX,Preferred AWD,"Elkton, MD",129 mi away,"$29,730","$29,339",$550/mo est.,KL4AMCSL5SB179204,225B110,,,,,https://www.cargurus.com/details/412516798?resultSetId=4ef9ea80-991f-4dc3-86b7-1aa12824af82&searchUuid=79944964-cf62-4583-b3b2-9eea73d9d561&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=1&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4GAEYAGwA7ACcABwkKADmcA0NHACufRXozU04OE11OAC0UBB1zFP4LfZTAEb2qwtNDN4N9qRNpHh1hO0dYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfR1ACygOuTXyeSAA
2025 Nissan Sentra,SR FWD,"Hillside, NJ",18 mi away,"$29,340","$29,340",$550/mo est.,3N1AB8DV2SY361664,SY361664,Empire Nissan of Hillside,(973) 319-8534,"56 Us Highway 22, Hillside, NJ 07205",https://www.shopempirenissanofhillside.com/new------3N1AB8DV2SY361664?utm_source=cargurus.com&utm_medium=referral&utm_campaign=cargurus_listings,https://www.cargurus.com/details/421811302?resultSetId=4ef9ea80-991f-4dc3-86b7-1aa12824af82&searchUuid=79944964-cf62-4583-b3b2-9eea73d9d561&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=2&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA4zBgAHBgY9v4kKADmcADsHRwArj0V6B0AnEM4OEMAbDgAtFAQE8zT+LX20wBG9muLQwzeHfakQ6R4E4QtrWDoDKoAUuYAGjcIpABiAEIAFgBazACqSAB5ABW+gA7gAZWQ3UEeeKkUrKJD6CYAWSBNyG+TyQA
2025 Nissan Altima,2.5 SR FWD,"Quincy, MA",181 mi away,"$34,340","$29,340",$550/mo est.,1N4BL4CV5SN423229,NS48795,,,,,https://www.cargurus.com/details/430519903?resultSetId=4ef9ea80-991f-4dc3-86b7-1aa12824af82&searchUuid=79944964-cf62-4583-b3b2-9eea73d9d561&sponsoredType=NONE&srpVariation=NEW_CAR_SEARCH&listingIndex=3&inclusionType=DEFAULT&searchZip=10451&searchDistance=200&ourls=SRP&srpc=N4IghgZgxiBcoC8CWAHOICMAGALAVgxABoQATJAZwBcwA7KAUzgCYssSKB7AJyoBEk3BlCpJOtdAEEAygGFiILrwAqATxRNYIAAoAlAJKyAogoC2YAB7buSRnADMeNuxANapAJoMw3FlmZ4HNwoAGo+SGCi4ugAckYA6gD6spK6idJGqbIAEiAAviQiFnCgADZIpHA49lgEAJx1WPYkKADmcADsHRwArj0V6B0NODh1AGw4ALRQEGPMk-gAHPaTAEb2q-N1DN4d9qR1pHhjhC2tYOgMqgBS5gAa1wikAGIAQgAWAFrMAKpIAPIAK30AHcADKya4gjzxUilZRIfRjACygOudXyeSAA
